insee_com;name;num_screens;num_seats;address;art;screen_3d;lat;lon
75115;GAUMONT CONVENTION;9;1263;27 RUE ALAIN CHARTIER;NON;OUI;48.837759;2.296259
75115;GAUMONT AQUABOULEVARD;14;2583;8/16 RUE DU COLONEL PIERRE AVIA;NON;OUI;48.830408;2.276322
75115;PATHE BEAUGRENELLE;10;1962;7 RUE LINOIS;NON;OUI;48.848895;2.282585
75116;MAJESTIC PASSY;3;617;18 - 20 RUE DE PASSY;NON;OUI;48.858204;2.282104
75117;UGC MAILLOT;4;764;PALAIS CONGRES PL PORTE MAILLOT;NON;NON;48.878512;2.282965
75117;MAC MAHON;1;137;5/7 AV MAC MAHON;NON;OUI;48.875715;2.294655
75117;LE CINEMA DES CINEASTES;3;478;7 AVENUE DE CLICHY;OUI;OUI;48.884303;2.326888
75117;CLUB DE L ETOILE;1;161;14 RUE TROYON;NON;OUI;48.876113;2.295345
75117;LES 7 BATIGNOLLES CINEMOVIDA;7;1151;ALLEE COLETTE HEILBRONNER;NON;NON;48.893315;2.311503
75118;PATHE WEPLER;12;2139;132 -140 BOULEVARD DE CLICHY;NON;OUI;48.883938;2.328034
75118;STUDIO 28;1;172;10 RUE THOLOZE;OUI;NON;48.886142;2.335342
75119;BORIS VIAN GRANDE HALLE;1;287;211 AV JEAN JAURES;NON;NON;48.888947;2.392436
75119;MK2 QUAI DE SEINE;6;992;14 QUAI DE LA SEINE;OUI;OUI;48.885073;2.371493
75119;MK2 QUAI DE LOIRE;6;1108;5/19 QUAI DE LA LOIRE;NON;OUI;48.885067;2.374123
75119;UGC CINE CITE PARIS 19;14;2790;166 BOULEVARD MAC DONALD;NON;OUI;48.898991;2.376757
75119;PATHE;16;2901;30 AVENUE CORENTIN CARIOU;NON;OUI;48.897016;2.385181
75120;MK2 GAMBETTA;6;1238;6 RUE BELGRAND;NON;OUI;48.864763;2.399555
75120;ETOILE LILAS;7;1480;PLACE DU MAQUIS DU VERCORS;NON;OUI;48.852605;2.406733
