stop_id;stop_name;stop_desc;code_insee;lon;lat
3687659;PORTE DES LILAS-METRO;1 AV DU DOCTEUR GLEY;75120;2.40767040983;48.8765150634
3716919;PONT NATIONAL - QUAI DE BERCY;RUE ROBERT ETLIN;75112;2.3900172463;48.8281446591
3716888;MAUBERT - MUTUALITE;47 BOULEVARD SAINT-GERMAIN;75105;2.34968817644;48.8496899005
4726942;GARE DE LYON - DIDEROT;3 RUE DE LYON;75112;2.37204701307;48.8461264183
4726945;GARE DE LYON;179 RUE DE BERCY;75112;2.37328450012;48.8436904326
3740305;BLANCHE;80 BOULEVARD DE CLICHY;75118;2.33358895849;48.8837166345
6904250;CHATEAU - MAIRIE DU 14E;158 AVENUE DU MAINE;75114;2.32437580523;48.8334853149
3740325;CHARLES DE GAULLE - ETOILE - WAGRAM;2 AVENUE DE WAGRAM;75108;2.29594405046;48.8747851741
6904251;LEDRU ROLLIN - FAUBOURG SAINT-ANTOINE;85 AVENUE LEDRU ROLLIN;75112;2.37561834784;48.8509785673
3754203;STADE CHARLETY - PORTE DE GENTILLY;FACE 1 AVENUE PIERRE DE COUBERTIN;75114;2.34433201599;48.8191055564
6904252;BLANCHE - CALAIS;61-63 RUE BLANCHE;75109;2.33159958061;48.8819101213
3749945;HAMEAU;10 RUE DU HAMEAU;75115;2.28907296218;48.8352647942
6961981;VOLTAIRE - MONTREUIL;252-254 BOULEVARD VOLTAIRE;75111;2.39136141789;48.8509185307
6961984;PORTE DE CLICHY;10 BOULEVARD BERTHIER;75117;2.31202568494;48.8939953736
7013379;BIBLIOTHEQUE CHEVALERET;FACE 5 RUE DE TOLBIAC;75113;2.37565736442;48.8301004742
7013383;OLYMPIADES;76 RUE DE TOLBIAC;75113;2.36664377799;48.827128133
7013431;JAVEL;2 RUE DE LA CONVENTION;75115;2.27748861133;48.8457030792
3754284;GLACIERE - TOLBIAC.;1 RUE D'ALESIA;75114;2.34105248255;48.8264756023
3754282;LA SIBELLE.;RUE DE LA SIBELLE;75114;2.33834361887;48.824714077
3764538;STADE CHARLETY - PORTE DE GENTILLY;96 RUE DE L' AMIRAL MOUCHEZ;75114;2.34380136322;48.8202739878
1166841;Saint-Lazare;Rue de l' Arcade;75108;2.32519648998;48.8755376704
3764534;RUNGIS;102 RUE BOBILLOT;75113;2.347395087;48.8230059925
3740516;ROME - HAUSSMANN;74-76 BOULEVARD HAUSSMANN;75108;2.32657294845;48.8739560369
3764469;JAVEL;QUAI ANDRE CITROEN;75115;2.27716097521;48.8464129278
3740536;LA TOUR;56 AVENUE PAUL DOUMER;75116;2.2806183366;48.8602283468
3764547;RUE VIEILLE DU TEMPLE - MAIRIE DU 4E;38 BIS RUE DE RIVOLI;75104;2.35636361321;48.8564116359
3764554;ROCHECHOUART-MARTYRS;72-72 BIS RUE DES MARTYRS;75109;2.33998000478;48.8813889638
